HSHEET,YEAR,Longitude (Geographic NAD83),Latitude (Geographic NAD83),Longitude (UTM NAD83),Latitude (UTM NAD83),Historical sounding (Mean lower low water),LiDAR elevation (Mean lower low water),Difference = LiDAR - Historical
H08681,1963,156.45777W,20.72343N,764759.7388,2293618.341,-15.9727,-15.2319994,0.740700603
H08681,1963,156.44823W,20.65029N,765882.0207,2285534.509,-15.7727,-16.14400101,-0.371301007
H08681,1963,156.44876W,20.62195N,765875.9555,2282394.842,-14.4727,-15.30000019,-0.827300191
H08681,1963,156.44702W,20.65268N,766003.2693,2285801.065,-15.5727,-16.27799988,-0.705299878
H08681,1963,156.44753W,20.69104N,765883.771,2290048.446,-12.1727,-13.23900032,-1.06630032
H08681,1963,156.44923W,20.67599N,765732.4174,2288378.285,-17.9727,-18.82999992,-0.857299924
H08681,1963,156.44660W,20.69109N,765980.0866,2290055.502,-9.7727,-10.43299961,-0.660299611
H08681,1963,156.45002W,20.70471N,765600.0157,2291558.439,-9.3727,-10.25499916,-0.882299161
H08681,1963,156.46650W,20.73292N,763834.4748,2294655.446,-17.7727,-19.51399994,-1.741299939
H08681,1963,156.46569W,20.73245N,763919.5727,2294605.156,-19.4727,-20.5890007,-1.116300702
H08681,1963,156.44731W,20.62570N,766020.2169,2282811.639,-10.2727,-11.33899975,-1.066299748
H08681,1963,156.45913W,20.72733N,764611.4482,2294048.602,-15.4727,-16.07600021,-0.603300214
H08681,1963,156.44823W,20.68385N,765823.563,2289250.995,-15.5727,-15.78499985,-0.212299847
H08681,1963,156.44937W,20.68543N,765701.2733,2289423.548,-19.0727,-19.18300056,-0.110300565
H08681,1963,156.44619W,20.68596N,766031.7657,2289488.24,-7.9727,-9.06000042,-1.08730042
H08681,1963,156.46045W,20.73292N,764464.0906,2294665.43,-9.7727,-10.13999939,-0.36729939
H08681,1963,156.46008W,20.73386N,764501.8464,2294769.712,-8.0727,-8.949999809,-0.877299809
H08681,1963,156.46498W,20.73613N,763987.265,2295013.77,-15.9727,-17.70700073,-1.734300732
H08681,1963,156.44645W,20.69909N,765982.2851,2290941.218,-4.6727,-5.75,-1.0773
H08681,1963,156.46069W,20.72943N,764445.8771,2294278.859,-13.5727,-14.64999962,-1.077299619
H08681,1963,156.44838W,20.71175N,765759.2549,2292341.056,-7.5727,-8.544999123,-0.972299123
H08681,1963,156.45124W,20.64047N,765584.6827,2284441.884,-12.3727,-13.86400032,-1.49130032
H08681,1963,156.44895W,20.71560N,765692.5239,2292765.84,-8.4727,-9.13599968,-0.66329968
H08681,1963,156.44950W,20.71605N,765634.3266,2292814.552,-10.8727,-10.72299957,0.149700427
H08681,1963,156.44825W,20.69862N,765795.5168,2290886.43,-12.1727,-12.34200001,-0.169300008
H08681,1963,156.44387W,20.66274N,766314.5198,2286919.958,-9.7727,-11.03100014,-1.258300137
H08681,1963,156.44828W,20.66435N,765851.6128,2287090.583,-19.8727,-20.46100044,-0.588300443
H08681,1963,156.46145W,20.72281N,764377.7868,2293543.883,-17.6727,-18.57900047,-0.906300473
H08681,1963,156.44656W,20.68217N,766000.5534,2289067.341,-6.6727,-10.11299992,-3.440299916
H08681,1963,156.44614W,20.68059N,766046.8744,2288893.15,-1.6727,-2.213999748,-0.541299748
H08681,1963,156.45986W,20.72357N,764542.0358,2293630.542,-15.0727,-15.15899944,-0.086299443
H08681,1963,156.44585W,20.62163N,766179.4066,2282364.157,-9.9727,-11.52400017,-1.551300168
H08681,1963,156.44647W,20.68850N,765998.2678,2289768.316,-10.2727,-11.06099987,-0.78829987
H08681,1963,156.44638W,20.69250N,766000.7624,2290212.027,-8.0727,-9.149999619,-1.077299619
H08681,1963,156.45293W,20.62363N,765438.0427,2282573.971,-19.0727,-19.77200127,-0.699301267
H08681,1963,156.46657W,20.73243N,763827.6148,2294601.057,-19.2727,-19.54000092,-0.267300916
H08681,1963,156.45078W,20.62371N,765662.4996,2282585.798,-15.2727,-16.43900108,-1.166301083
H08681,1963,156.46358W,20.73303N,764137.7859,2294672.496,-15.9727,-16.73200035,-0.759300351
H08681,1963,156.46471W,20.73251N,764021.5815,2294612.958,-17.7727,-18.84000015,-1.067300153
H08681,1963,156.46159W,20.72823N,764354.2921,2294144.599,-16.1727,-17.0529995,-0.880299497
H08681,1963,156.44605W,20.68320N,766051.0705,2289182.683,-9.1727,-9.989999771,-0.817299771
H08681,1963,156.44735W,20.68726N,765909.3398,2289629.66,-13.0727,-13.73200035,-0.659300351
H08681,1963,156.44901W,20.68547N,765739.5437,2289429.467,-17.6727,-18.36199951,-0.689299512
H08681,1963,156.44990W,20.62834N,765745.4712,2283100.445,-12.3727,-13.32499981,-0.952299809
H08681,1963,156.45258W,20.62694N,765469.0059,2282940.688,-15.5727,-16.89900017,-1.326300168
H08681,1963,156.44705W,20.66713N,765974.8655,2287401.152,-15.4727,-15.84800053,-0.375300526
H08681,1963,156.44804W,20.70037N,765814.1347,2291080.919,-8.6727,-9.331999779,-0.659299779
H08681,1963,156.46069W,20.72965N,764445.3974,2294302.78,-13.4727,-14.20899963,-0.736299634
H08681,1963,156.45047W,20.63103N,765681.467,2283397.767,-9.1727,-10.55099964,-1.378299641
H08681,1963,156.44572W,20.66050N,766126.1077,2286668.624,-14.3727,-15.19099998,-0.818299985
H08681,1963,156.44989W,20.69439N,765631.3477,2290415.692,-17.0727,-17.76300049,-0.690300488
H08681,1963,156.46306W,20.73030N,764196.9081,2294371.441,-15.9727,-16.6269989,-0.654298901
H08681,1963,156.44653W,20.68023N,766007.052,2288853.307,-9.3727,-7.482999802,1.889700198
H08681,1963,156.45191W,20.72484N,765368.0784,2293784.219,-8.6727,-9.459999084,-0.787299084
H08681,1963,156.44919W,20.65027N,765781.3597,2285530.268,-18.1727,-18.78000069,-0.607300687
H08681,1963,156.46033W,20.72361N,764493.4056,2293634.542,-17.0727,-17.27300072,-0.200300717
H08681,1963,156.44953W,20.69043N,765675.8695,2289977.929,-17.7727,-18.43000031,-0.657300305
H08681,1963,156.44808W,20.68799N,765831.3508,2289709.854,-15.2727,-15.79500008,-0.522300076
H08681,1963,156.44779W,20.67287N,765888.6668,2288035.666,-12.6727,-13.35000038,-0.677300382
H08681,1963,156.45925W,20.73289N,764589.4779,2294664.409,-2.9727,-5.233999252,-2.261299252
H08681,1963,156.44749W,20.62329N,766006.0472,2282545.105,-12.4727,-13.16900063,-0.696300626
H08681,1963,156.46133W,20.72688N,764383.4159,2293995.505,-17.7727,-17.81500053,-0.042300534
H08681,1963,156.45718W,20.72884N,764811.6831,2294219.135,-7.7727,-5.449999332,2.322700668
H08681,1963,156.46114W,20.72869N,764399.7664,2294195.495,-15.2727,-15.73699951,-0.464299512
H08681,1963,156.44881W,20.63162N,765853.3185,2283464.937,-4.0727,-4.410999775,-0.338299775
H08681,1963,156.44821W,20.63145N,765916.6862,2283447.432,-4.4727,-4.207999706,0.264700294
H08681,1963,156.44769W,20.67114N,765901.2712,2287844.217,-14.6727,-15.24600029,-0.57330029
H08681,1963,156.44901W,20.71079N,765694.7652,2292233.359,-9.5727,-10.43699932,-0.864299321
H08681,1963,156.44997W,20.63001N,765735.1769,2283284.619,-9.7727,-10.63099957,-0.858299565
H08681,1963,156.44811W,20.64135N,765909.4727,2284544.026,-4.2727,-6.105000019,-1.832300019
H08681,1963,156.44943W,20.64392N,765767.4894,2284826.718,-11.9727,-13,-1.0273
H08681,1963,156.45154W,20.64378N,765548.1793,2284807.766,-13.9727,-16.96899986,-2.996299863
H08681,1963,156.45368W,20.71755N,765196.2395,2292974.71,-15.2727,-15.22099972,0.051700282
H08681,1963,156.45462W,20.63746N,765237.9514,2284102.673,-15.4727,-17.17900085,-1.706300855
H08681,1963,156.44957W,20.70471N,765647.0213,2291558.737,-12.1727,-12.72399998,-0.551299977
H08681,1963,156.46508W,20.73272N,763982.6598,2294636.055,-18.1727,-18.90799904,-0.735299039
H08681,1963,156.44831W,20.70554N,765776.9727,2291653.284,-6.9727,-6.968999386,0.003700614
H08681,1963,156.46367W,20.72782N,764137.8731,2294095.342,-19.2727,-19.0720005,0.200699497
H08681,1963,156.44768W,20.68341N,765881.7596,2289203.058,-13.5727,-14.13000011,-0.557300114
H08681,1963,156.44981W,20.64887N,765719.9976,2285374.104,-17.7727,-18.87100029,-1.09830029
H08681,1963,156.45175W,20.62731N,765554.3716,2282983.568,-14.3727,-15.55000019,-1.177300191
H08681,1963,156.46259W,20.73542N,764237.4093,2294938.597,-11.7727,-12.31599998,-0.543299985
H08681,1963,156.45029W,20.69992N,765580.5394,2291027.722,-17.7727,-18.18799973,-0.415299725
H08681,1963,156.46319W,20.72925N,764185.5029,2294254.723,-15.7727,-16.4260006,-0.653300595
H08681,1963,156.45987W,20.72858N,764532.5863,2294185.948,-13.0727,-13.43799973,-0.365299725
H08681,1963,156.46033W,20.73008N,764482.1658,2294350.549,-10.4727,-11.65799999,-1.185299992
H08681,1963,156.44985W,20.71136N,765606.6532,2292295.226,-11.3727,-12.23799992,-0.865299916
H08681,1963,156.44728W,20.65973N,765964.8239,2286581.451,-17.7727,-18.48900032,-0.71630032
H08681,1963,156.44821W,20.64369N,765895.5039,2284802.585,-7.1727,-9.758999825,-2.586299825
H08681,1963,156.45000W,20.71661N,765581.6653,2292875.759,-10.6727,-11.43499947,-0.762299466
H08681,1963,156.44954W,20.69806N,765662.151,2290822.958,-15.5727,-16.21800041,-0.645300412
H08681,1963,156.45333W,20.71976N,765229.6,2293219.281,-13.0727,-13.08299923,-0.010299229
H08681,1963,156.45846W,20.71857N,764696.3903,2293079.626,-16.3727,-16.47100067,-0.098300671
H08681,1963,156.45494W,20.72164N,765058.6585,2293425.521,-14.6727,-15.18799973,-0.515299725
H08681,1963,156.45687W,20.72346N,764853.7759,2293623.142,-13.7727,-14.21999931,-0.447299313
H08681,1963,156.45514W,20.72346N,765034.2426,2293626.09,-13.4727,-13.58099937,-0.108299374
H08681,1963,156.44796W,20.65118N,765908.2149,2285632.627,-15.5727,-16.03199959,-0.459299588
H08681,1963,156.44894W,20.65271N,765803.2864,2285800.469,-19.6727,-20.42000008,-0.747300076
H08681,1963,156.44981W,20.68896N,765649.5748,2289813.895,-19.6727,-20.30900002,-0.636300015
H08681,1963,156.44695W,20.69272N,765940.8698,2290235.454,-9.7727,-10.83899975,-1.066299748
H08681,1963,156.45606W,20.63643N,765089.6133,2283986.027,-17.7727,-19.78499985,-2.012299847
H08681,1963,156.45329W,20.62581N,765396.9349,2282814.712,-18.7727,-19.08800125,-0.315301251
H08681,1963,156.46296W,20.73329N,764202.3416,2294702.754,-15.2727,-15.27499962,-0.002299619
H08681,1963,156.45136W,20.62566N,765598.0037,2282801.469,-15.0727,-16.38800049,-1.315300488
H08681,1963,156.46372W,20.72728N,764133.2815,2294035.893,-19.2727,-19.78899956,-0.516299558
H08681,1963,156.46195W,20.73121N,764310.7795,2294473.482,-14.4727,-14.31699944,0.155700565
H08681,1963,156.46122W,20.73257N,764384.4712,2294625.519,-8.8727,-11.13999939,-2.26729939
H08681,1963,156.46046W,20.72735N,764472.9401,2294048.643,-15.4727,-16.70599937,-1.233299374
H08681,1963,156.44867W,20.70973N,765731.9356,2292116.851,-9.5727,-10.10099983,-0.528299832
H08681,1963,156.44548W,20.62662N,766209.4153,2282916.749,-4.8727,-5.263000011,-0.390300011
H08681,1963,156.45444W,20.62700N,765274.655,2282944.622,-18.3727,-19.15800095,-0.785300946
H08681,1963,156.46344W,20.73547N,764148.8687,2294942.637,-13.5727,-14.20399952,-0.631299519
H08681,1963,156.45294W,20.72613N,765258.2905,2293925.95,-7.5727,-8.226999283,-0.654299283
H08681,1963,156.45523W,20.63254N,765182.4731,2283556.777,-13.4727,-15.35900021,-1.886300206
H08681,1963,156.44629W,20.65730N,766071.7375,2286313.83,-14.8727,-15.08100033,-0.208300328
H08681,1963,156.44820W,20.67032N,765850.3715,2287752.799,-16.8727,-17.24200058,-0.36930058
H08681,1963,156.44760W,20.69766N,765864.4048,2290781.499,-9.7727,-9.800000191,-0.027300191
H08681,1963,156.44744W,20.66287N,765941.7492,2286928.158,-17.9727,-18.1400013,-0.167301297
H08681,1963,156.45494W,20.72209N,765057.6646,2293475.467,-14.6727,-14.67599964,-0.003299641
H08681,1963,156.44837W,20.70396N,765773.479,2291478.087,-7.5727,-7.062999249,0.509700752
H08681,1963,156.45207W,20.70383N,765388.4472,2291457.181,-12.6727,-13.40600014,-0.733300137
H08681,1963,156.44626W,20.65031N,766086.9445,2285539.392,-10.4727,-10.76300049,-0.290300488
H08681,1963,156.44590W,20.65267N,766119.9463,2285801.239,-13.9727,-14.27999973,-0.307299733
H08681,1963,156.44553W,20.65332N,766158.3139,2285874.403,-12.8727,-13.24100018,-0.368300176
H08681,1963,156.45032W,20.69004N,765594.2243,2289932.887,-19.9727,-20.67000008,-0.697300076
H08681,1963,156.45624W,20.72075N,764923.7158,2293324.363,-16.1727,-15.63299942,0.53970058
H08681,1963,156.46550W,20.73290N,763938.0772,2294654.632,-19.4727,-19.62199974,-0.149299741
H08681,1963,156.46289W,20.73264N,764211.0801,2294630.663,-13.2727,-14.84200001,-1.569300008
H08681,1963,156.45903W,20.73326N,764611.8653,2294705.416,-3.1727,-4.360999107,-1.188299107
H08681,1963,156.44652W,20.68638N,765997.4784,2289533.895,-9.3727,-10.93799973,-1.565299725
H08681,1963,156.45159W,20.62691N,765571.9637,2282939.09,-15.0727,-15.98900032,-0.91630032
H08681,1963,156.45236W,20.70132N,765362.0656,2291179.486,-13.5727,-14.57900047,-1.006300473
H08681,1963,156.45253W,20.63108N,765466.8147,2283399.829,-11.2727,-11.88300037,-0.610300374
H08681,1963,156.46263W,20.73095N,764241.0014,2294443.917,-15.2727,-15.84799957,-0.575299573
H08681,1963,156.44689W,20.65796N,766007.9327,2286386.272,-16.8727,-17.46899986,-0.596299863
H08681,1963,156.44948W,20.69631N,765671.1425,2290629.236,-15.5727,-16.04599953,-0.473299527
H08681,1963,156.45631W,20.72431N,764910.5384,2293718.418,-12.1727,-12.25799942,-0.08529942
H08681,1963,156.45543W,20.72557N,765000.4582,2293859.081,-11.5727,-11.99399948,-0.421299481
H08681,1963,156.44724W,20.65497N,765977.0766,2286054.337,-17.7727,-18.15200043,-0.379300427
H08681,1963,156.45539W,20.72427N,765006.9806,2293716.057,-12.8727,-13.16399956,-0.291299558
H08681,1963,156.44929W,20.68023N,765718.8757,2288848.106,-18.1727,-18.9810009,-0.8083009
H08681,1963,156.44860W,20.69049N,765772.7985,2289985.77,-15.5727,-16.22599983,-0.653299832
H08681,1963,156.44869W,20.69199N,765761.4216,2290152.202,-14.6727,-15.76600075,-1.093300748
H08681,1963,156.46217W,20.71924N,764309.0665,2293147.548,-19.2727,-22.16799927,-2.895299268
H08681,1963,156.44837W,20.67360N,765826.9439,2288115.342,-14.8727,-15.03200054,-0.159300542
H08681,1963,156.44681W,20.69250N,765956.5773,2290211.109,-9.7727,-10.53999996,-0.767299962
H08681,1963,156.45073W,20.62515N,765665.1023,2282745.692,-15.0727,-15.78900051,-0.716300511
H08681,1963,156.44911W,20.70595N,765693.4163,2291697.055,-11.5727,-11.46000004,0.112699962
H08681,1963,156.45981W,20.73223N,764532.2831,2294590.175,-8.8727,-9.315999031,-0.443299031
H08681,1963,156.44749W,20.64719N,765964.3611,2285191.835,-12.8727,-13.25500011,-0.382300114
H08681,1963,156.44611W,20.64679N,766108.6074,2285149.903,-4.9727,-5.56099987,-0.58829987
H08681,1963,156.46191W,20.73387N,764311.1491,2294768.712,-9.1727,-10.23099995,-1.058299947
H08681,1963,156.44959W,20.69891N,765655.2602,2290916.347,-15.5727,-15.81500053,-0.242300534
H08681,1963,156.45528W,20.72675N,765013.3911,2293991.001,-9.0727,-9.809999466,-0.737299466
H08681,1963,156.46047W,20.72920N,764468.8937,2294253.299,-13.4727,-14.46099949,-0.988299489
H08681,1963,156.45612W,20.63137N,765091.6001,2283426.187,-17.7727,-19.00800133,-1.235301328
H08681,1963,156.44548W,20.66719N,766138.5152,2287410.374,-3.8727,-6.108999729,-2.236299729
H08681,1963,156.44636W,20.67039N,766041.3147,2287763.226,-11.2727,-12.28800011,-1.015300107
H08681,1963,156.45293W,20.62958N,765427.5094,2283232.824,-13.2727,-13.80599976,-0.533299756
H08681,1963,156.46016W,20.73074N,764498.7203,2294424.588,-9.1727,-9.120999336,0.051700664
H08681,1963,156.45144W,20.64232N,765560.9351,2284646.119,-15.2727,-15.7300005,-0.457300496
H08681,1963,156.44319W,20.66106N,766387.8041,2286735.557,-8.8727,-8.677000046,0.195699954
H08681,1963,156.45325W,20.71850N,765239.7151,2293079.859,-13.5727,-13.66899967,-0.096299672
H08681,1963,156.45973W,20.72199N,764558.6409,2293455.772,-17.9727,-18.97599983,-1.003299832
H08681,1963,156.44606W,20.68163N,766053.1809,2289009.014,-5.1727,-6.087999821,-0.915299821
H08681,1963,156.45673W,20.72489N,764865.7682,2293781.855,-9.5727,-11.49300003,-1.920300031
H08681,1963,156.44893W,20.65107N,765807.8067,2285618.974,-18.7727,-18.8409996,-0.068299603
H08681,1963,156.44916W,20.70705N,765685.5487,2291819.342,-10.6727,-12.11699963,-1.444299626
H08681,1963,156.44594W,20.62248N,766168.7661,2282457.266,-11.2727,-11.98900032,-0.71630032
H08681,1963,156.44851W,20.65409N,765845.8018,2285954.788,-19.8727,-20.55900002,-0.686300015
H08681,1963,156.44805W,20.65323N,765895.5765,2285859.525,-17.7727,-18.62199974,-0.849299741
H08681,1963,156.44808W,20.69207N,765824.9701,2290161.401,-13.4727,-14.27099991,-0.798299908
H08681,1963,156.45542W,20.63710N,765155.4895,2284061.169,-17.9727,-18.93300056,-0.960300565
H08681,1963,156.46079W,20.73137N,764432.0886,2294493.332,-6.9727,-11.41899967,-4.446299672
H08681,1963,156.44776W,20.62534N,765973.9154,2282771.586,-12.4727,-13.16600037,-0.693300366
H08681,1963,156.44505W,20.68453N,766153.8074,2289331.638,-5.9727,-6.197999954,-0.225299954
H08681,1963,156.44649W,20.68610N,766000.3658,2289502.811,-9.3727,-10.72000027,-1.347300267
H08681,1963,156.44885W,20.64884N,765819.4052,2285371.899,-15.4727,-16.27099991,-0.798299908
H08681,1963,156.46159W,20.73055N,764349.9615,2294400.651,-13.5727,-14.01599979,-0.443299794
H08681,1963,156.46163W,20.72999N,764346.8626,2294339.12,-14.6727,-14.66899967,0.003700328
H08681,1963,156.44850W,20.63102N,765886.5765,2283399.103,-5.3727,-6.370999813,-0.998299813
H08681,1963,156.45404W,20.63127N,765309.1584,2283418.295,-11.2727,-12.12899971,-0.85629971
H08681,1963,156.44770W,20.64300N,765949.2355,2284727.767,-5.5727,-5.995999813,-0.423299813
H08681,1963,156.45080W,20.71998N,765492.8282,2293248.572,-9.1727,-9.346999168,-0.174299168
H08681,1963,156.45021W,20.69624N,765595.2897,2290620.398,-17.6727,-18.37000084,-0.697300839
H08681,1963,156.44918W,20.69624N,765702.4268,2290621.863,-14.3727,-15.01000023,-0.637300229
H08681,1963,156.44786W,20.66351N,765897.5751,2286998.916,-19.2727,-19.36700058,-0.09430058
H08681,1963,156.45499W,20.63600N,765202.115,2283940.597,-15.2727,-15.54800034,-0.275300336
H08681,1963,156.46640W,20.73220N,763846.2539,2294575.427,-19.8727,-20.96899986,-1.096299863
H08681,1963,156.44544W,20.62325N,766219.2307,2282544.355,-8.8727,-9.928999901,-1.056299901
H08681,1963,156.44921W,20.64609N,765786.4431,2285067.294,-14.1727,-15.46500015,-1.292300153
H08681,1963,156.46001W,20.72735N,764520.0321,2294049.604,-16.6727,-16.5739994,0.098700595
H08681,1963,156.44563W,20.66766N,766122.8959,2287462.084,-7.7727,-7.28099966,0.49170034
H08681,1963,156.44928W,20.71183N,765664.914,2292348.432,-10.4727,-11.01799965,-0.545299649
H08681,1963,156.44606W,20.65797N,766094.1234,2286388.736,-13.4727,-14.79500008,-1.322300076
H08681,1963,156.44973W,20.69350N,765649.9854,2290317.724,-17.2727,-17.77300072,-0.500300717
H08681,1963,156.44454W,20.66233N,766245.183,2286873.668,-11.9727,-12.50399971,-0.53129971
H08681,1963,156.44690W,20.66351N,765997.5429,2287000.267,-16.8727,-17.12899971,-0.25629971
H08681,1963,156.45713W,20.72076N,764831.693,2293323.914,-12.6727,-13.23499966,-0.562299657
H08681,1963,156.44953W,20.70272N,765654.7577,2291338.851,-13.4727,-14.1420002,-0.669300198
H08681,1963,156.44752W,20.68135N,765901.7202,2288974.835,-10.4727,-11.8579998,-1.385299802
H08681,1963,156.45959W,20.72427N,764568.6286,2293709.169,-16.3727,-18.37599945,-2.003299451
H08681,1963,156.44417W,20.65162N,766302.7354,2285688.573,-5.3727,-5.838999748,-0.466299748
H08681,1963,156.44340W,20.62315N,766432.434,2282535.743,-5.3727,-1.109999537,4.262700463
H08681,1963,156.45786W,20.71993N,764756.7527,2293231.233,-13.9727,-16.09300041,-2.120300412
H08681,1963,156.44919W,20.67428N,765739.8695,2288189.524,-17.4727,-18.25500107,-0.782301068
H08681,1963,156.44885W,20.69265N,765743.1929,2290224.143,-15.4727,-15.89800072,-0.425300717
H08681,1963,156.46428W,20.73127N,764067.9074,2294476.541,-18.1727,-18.58799934,-0.415299344
H08681,1963,156.46271W,20.73302N,764228.3423,2294672.919,-12.6727,-13.04999924,-0.377299237
H08681,1963,156.45751W,20.72598N,764783.3228,2293901.641,-15.0727,-15.06899929,0.00370071
H08681,1963,156.45690W,20.72788N,764843.4749,2294112.733,-4.8727,-6.714999199,-1.842299199
H08681,1963,156.44391W,20.64736N,766337.0761,2285216.088,-4.2727,-4.860999584,-0.588299584
H08681,1963,156.44715W,20.64780N,765998.4223,2285260.5,-11.2727,-12.03800011,-0.765300107
H08681,1963,156.45980W,20.73535N,764528.1149,2294935.185,-2.2727,-4.090999126,-1.818299126
H08681,1963,156.46127W,20.73391N,764377.0399,2294773.624,-9.7727,-10.0739994,-0.301299405
H08681,1963,156.45637W,20.72717N,764899.4128,2294034.96,-10.6727,-10.74499989,-0.072299886
H08681,1963,156.46143W,20.72928N,764368.7283,2294260.699,-14.8727,-15.27699947,-0.404299474
H08681,1963,156.45876W,20.72919N,764647.1755,2294255.544,-4.6727,-6.306999207,-1.634299207
H08681,1963,156.46061W,20.72890N,764454.4133,2294219.727,-13.7727,-15.33699989,-1.564299893
H08681,1963,156.46221W,20.72858N,764288.4593,2294182.338,-15.9727,-16.56200027,-0.589300275
H08681,1963,156.44993W,20.63159N,765736.6952,2283460.337,-6.9727,-7.786999702,-0.814299702
H08681,1963,156.44643W,20.65630N,766059.0997,2286202.52,-13.7727,-15.06900024,-1.296300244
H08681,1963,156.44409W,20.66611N,766285.8033,2287293.385,-6.2727,-7.355999947,-1.083299947
H08681,1963,156.44886W,20.71050N,765710.699,2292201.152,-9.5727,-10.15899944,-0.586299443
H08681,1963,156.44882W,20.62921N,765856.5686,2283198.123,-11.0727,-11.97900009,-0.906300092
H08681,1963,156.44312W,20.66044N,766397.2252,2286667.022,-7.1727,-8.078999519,-0.906299519
H08681,1963,156.44758W,20.65876N,765935.1457,2286472.975,-18.1727,-19.61800003,-1.445300031
H08681,1963,156.45823W,20.71696N,764722.9516,2292901.468,-19.2727,-19.42000008,-0.147300076
H08681,1963,156.44971W,20.64333N,765739.1148,2284761.024,-11.3727,-12.55000019,-1.177300191
H08681,1963,156.45037W,20.71933N,765538.4694,2293176.398,-8.6727,-9.437999725,-0.765299725
H08681,1963,156.44845W,20.69763N,765776.0831,2290776.785,-12.4727,-12.74900055,-0.276300549
H08681,1963,156.44951W,20.69725N,765666.9086,2290732.637,-15.7727,-16.31500053,-0.542300534
H08681,1963,156.44779W,20.66088N,765909.4548,2286707.644,-19.2727,-19.54500008,-0.272300076
H08682,1962,156.40393W,20.92133N,770016.801,2315626.024,-4.6747,-5.922999859,-1.248299859
H08682,1962,156.40266W,20.91932N,770152.2481,2315405.981,-4.8747,-4.870999813,0.003700187
H08682,1962,156.40241W,20.92008N,770177.0102,2315490.247,-4.2747,-4.55700016,-0.28230016
H08682,1962,156.40491W,20.91619N,769924.1287,2315055.528,-7.5747,-6.94299984,0.63170016
H08682,1962,156.40327W,20.91784N,770091.527,2315241.034,-7.3747,-7.468999863,-0.094299863
H08682,1962,156.40480W,20.91788N,769932.1361,2315242.553,-8.0747,-8.543999672,-0.469299672
H08682,1962,156.40117W,20.91753N,770311.3537,2315210.03,-7.5747,-7.184999943,0.389700057
H08682,1962,156.40333W,20.91862N,770084.4081,2315327.111,-7.5747,-7.596000195,-0.021300195
H08682,1962,156.40326W,20.91693N,770094.3073,2315140.042,-6.9747,-7.544000149,-0.569300149
H08682,1962,156.40638W,20.91633N,769771.3161,2315068.566,-7.9747,-8.607999802,-0.633299802
H08682,1962,156.40434W,20.91713N,769981.5572,2315160.374,-7.5747,-7.900000095,-0.325300095
H08682,1962,156.40901W,20.91883N,769492.6309,2315340.804,-6.6747,-7.034999847,-0.360299847
H08682,1962,156.41021W,20.92034N,769364.7383,2315506.135,-5.7747,-6.045000076,-0.270300076
H08682,1962,156.41016W,20.92072N,769369.678,2315548.313,-4.0747,-4.709000111,-0.634300111
H08682,1962,156.40796W,20.91920N,769601.4338,2315384.217,-3.8747,-4.532000065,-0.657300065
H08682,1962,156.40621W,20.91904N,769784.0559,2315368.558,-3.7747,-5.110000134,-1.335300134
H08682,1962,156.41901W,20.92318N,768444.546,2315805.705,-5.1747,-5.525000095,-0.350300095
H08682,1962,156.41920W,20.92406N,768423.2037,2315902.963,-6.8747,-7.355000496,-0.480300496
H08682,1962,156.42028W,20.92388N,768311.0405,2315880.884,-6.6747,-6.892000198,-0.217300198
H08682,1962,156.41973W,20.92319N,768369.4894,2315806.269,-5.9747,-6.636000156,-0.661300156
H08682,1962,156.41965W,20.92219N,768379.1841,2315695.419,-5.9747,-6.291000366,-0.316300366
H08682,1962,156.41943W,20.92259N,768401.8921,2315739.655,-5.3747,-5.873000145,-0.498300145
H08682,1962,156.39201W,20.92589N,771249.5389,2316151.55,-5.3747,-6.106999874,-0.732299874
H08682,1962,156.39475W,20.92722N,770961.4012,2316293.769,-9.1747,-11.125,-1.9503
H08682,1962,156.34188W,20.94016N,776439.2422,2317817.786,-17.6747,-17.69799995,-0.023299954
H08682,1962,156.38341W,20.91938N,772155.7024,2315445.642,-3.8747,-6.181000233,-2.306300233
H08682,1962,156.38636W,20.92152N,771845.2719,2315677,-5.1747,-7.467999935,-2.293299935
H08682,1962,156.38417W,20.92242N,772071.0153,2315781.055,-5.9747,-7.350999832,-1.376299832
H08682,1962,156.42027W,20.92700N,768306.4093,2316226.901,-10.1747,-11.18800068,-1.013300679
H08682,1962,156.40800W,20.91742N,769599.8334,2315186.993,-7.7747,-8.48900032,-0.71430032
H08682,1962,156.41728W,20.92287N,768625.3222,2315774.938,-5.1747,-5.945000172,-0.770300172
H08682,1962,156.41726W,20.92482N,768623.7214,2315990.61,-10.2747,-10.45900059,-0.184300588
H08682,1962,156.39635W,20.91961N,770809.3075,2315449.097,-5.7747,-6.797999859,-1.023299859
H08682,1962,156.32813W,20.94558N,777860.2792,2318442.588,-7.1747,-8.598000526,-1.423300526
H08682,1962,156.40244W,20.91834N,770177.324,2315297.374,-7.7747,-7.524000168,0.250699832
H08682,1962,156.41090W,20.92071N,769292.5832,2315546.071,-4.6747,-7.129000187,-2.454300187
H08682,1962,156.41152W,20.92016N,769229.5712,2315483.9,-8.4747,-9.097000122,-0.622300122
H08682,1962,156.42049W,20.92015N,768295.3119,2315467.515,-10.2747,-11.14100075,-0.866300748
H08682,1962,156.41686W,20.92103N,768672.2214,2315570.963,-6.8747,-5.611000061,1.263699939
H08682,1962,156.41678W,20.92073N,768681.1679,2315538.979,-7.1747,-7.650000095,-0.475300095
